Name,Quantity,PriceFocus,PartworthUtilityWeights,PerformanceUtilityWeights
CustomerType1,841,0.6816558069790948,"[0.75758957,0.6385563 ,0.47744351,0.04520268,0.36868189,0.17301293,
 0.28613708,0.71557096,0.0475152 ,0.76487783]","[0.74003572,0.97888013,0.85077394,0.21037812,0.44159231,0.53796498,
 0.33698455,0.67952971,0.46740748,0.09440537,0.11296049]"
CustomerType2,416,0.07025379775598495,"[0.57156233,0.78097318,0.84142012,0.66294111,0.99169451,0.61494069,
 0.48232505,0.4403018 ,0.18649409,0.48481998]","[0.79867589,0.49524331,0.13675596,0.271016  ,0.27723716,0.33196448,
 0.53328911,0.95108449,0.36910379,0.52240504,0.82541939]"
CustomerType3,725,0.37279338717547006,"[0.98083275,0.80689849,0.28093919,0.76036115,0.04073424,0.56997065,
 0.40312744,0.16497466,0.23523347,0.01717835]","[0.81100931,0.22135574,0.3877992 ,0.12042502,0.0158088 ,0.56408392,
 0.14374312,0.90772836,0.29187353,0.25535975,0.44758183]"
CustomerType4,463,0.8612929790551092,"[0.40478895,0.52682249,0.3873605 ,0.1479531 ,0.07524497,0.19325856,
 0.26895968,0.90271934,0.9108194 ,0.10934278]","[0.87090228,0.89104281,0.68328378,0.92903662,0.82161311,0.15817444,
 0.93420638,0.40407899,0.58556658,0.50728198,0.22542764]"
CustomerType5,739,0.03338928648765738,"[0.03341056,0.49757565,0.49156266,0.17866948,0.5770031 ,0.36392701,
 0.39556685,0.06407907,0.33999886,0.72121623]","[0.48174618,0.96900935,0.66236728,0.95846686,0.65114188,0.8806817 ,
 0.73449538,0.84817037,0.72051375,0.92730426,0.36420277]"
CustomerType6,988,0.9979665441189113,"[0.52936915,0.73947398,0.45513358,0.66671915,0.02417173,0.35097049,
 0.7239483 ,0.91077014,0.61457196,0.99388904]","[0.4647266 ,0.83895013,0.28583252,0.34930312,0.29690787,0.85217229,
 0.14327954,0.11842148,0.79201319,0.61464737,0.71673561]"
CustomerType7,902,0.25234730216788304,"[0.08676171,0.01394977,0.28913609,0.98077159,0.93534972,0.22669064,
 0.87846727,0.30841412,0.55228297,0.33735769]","[0.28870822,0.35007417,0.12182595,0.97073924,0.79945538,0.18798127,
 0.96526645,0.49587802,0.49413519,0.0058614 ,0.7836602 ]"
CustomerType8,160,0.408489285318119,"[0.01082557,0.08264746,0.4438957 ,0.49237124,0.72215185,0.02023143,
 0.4423173 ,0.60417581,0.35837974,0.55345493]","[0.67866055,0.44023083,0.24103614,0.20304645,0.31152825,0.86730071,
 0.86905028,0.77990838,0.79576585,0.95673205,0.84625675]"
CustomerType9,482,0.7511258056263836,"[0.37439735,0.47564893,0.16469255,0.78645161,0.75315266,0.61841521,
 0.51671086,0.63792565,0.6930254 ,0.9156192 ]","[0.53517194,0.3898101 ,0.71313138,0.90200744,0.63156816,0.17228163,
 0.62368488,0.52866437,0.32451743,0.02193976,0.90701463]"
CustomerType10,255,0.25581060017403146,"[0.12430951,0.28895557,0.10506651,0.92224875,0.39497613,0.00822657,
 0.27600356,0.70496499,0.65228324,0.1206607 ]","[0.08255459,0.97412722,0.83302608,0.04131575,0.01338921,0.18455177,
 0.52856376,0.12992561,0.07928897,0.25441566,0.47975208]"
CustomerType11,245,0.0976292771450965,"[0.27184008,0.83615254,0.12064589,0.56300028,0.73184924,0.06522883,
 0.0672838 ,0.09128711,0.10508458,0.5343529 ]","[0.12957547,0.70535747,0.95670323,0.905051  ,0.79506013,0.99733043,
 0.59502038,0.0765751 ,0.25257712,0.64848878,0.79805828]"
CustomerType12,614,0.25137764446124966,"[0.10873792,0.12441533,0.86479167,0.35564376,0.90664488,0.29892719,
 0.55885131,0.66320667,0.44422596,0.84090527]","[0.37695381,0.1410686 ,0.15015235,0.04965797,0.55036045,0.67209118,
 0.47254517,0.39271077,0.77383183,0.14774692,0.55111867]"
CustomerType13,462,0.9717916276569392,"[0.02065785,0.21729272,0.13537691,0.5428432 ,0.7640248 ,0.77344727,
 0.41029012,0.36875889,0.40111765,0.34776446]","[0.18206942,0.66851215,0.92041022,0.49222579,0.32340052,0.88413485,
 0.68621252,0.76549908,0.71706263,0.91486251,0.93079502]"
CustomerType14,368,0.3981696105778073,"[0.04820821,0.9094462 ,0.39690125,0.50901416,0.44398079,0.89996111,
 0.57736302,0.034904  ,0.67981835,0.00438554]","[0.65089648,0.43828044,0.33798759,0.67959437,0.08453016,0.88011559,
 0.97326681,0.91417633,0.6088772 ,0.72323589,0.63201847]"
CustomerType15,269,0.04663680413176352,"[0.26561387,0.09906529,0.94023464,0.71828541,0.19799469,0.44941088,
 0.68607038,0.57968844,0.69781301,0.01125089]","[0.67036765,0.38465942,0.86941509,0.32624275,0.20282187,0.01420373,
 0.56675394,0.4668352 ,0.83090458,0.72100612,0.52803452]"
CustomerType16,823,0.6387841742331658,"[0.93771908,0.12649274,0.60598971,0.72619431,0.97427558,0.09061837,
 0.63761803,0.65148323,0.55972325,0.39031538]","[0.47412007,0.60547481,0.11140299,0.32539295,0.62220106,0.76395212,
 0.55210969,0.07641329,0.29265607,0.13697482,0.98897001]"
CustomerType17,561,0.5272873333334005,"[0.76252403,0.35451372,0.32089653,0.55254494,0.19160566,0.77728905,
 0.46537589,0.34774435,0.30910382,0.45818913]","[0.24434249,0.29281047,0.33843448,0.98757099,0.35793816,0.5969709 ,
 0.76031566,0.75053066,0.32129242,0.29745795,0.42355061]"
CustomerType18,617,0.9281052289705646,"[0.6349901 ,0.9752515 ,0.92726472,0.21465033,0.76251014,0.8718592 ,
 0.88673687,0.29213612,0.57808147,0.75251074]","[0.54259294,0.04489296,0.92982982,0.93566938,0.86317377,0.04564202,
 0.74905324,0.81288784,0.34660061,0.17691346,0.60896047]"
CustomerType19,143,0.15447291977304,"[0.49617665,0.73948826,0.13702439,0.18224736,0.22113669,0.2930174 ,
 0.28335994,0.40542967,0.81163423,0.15263401]","[0.26033388,0.21195498,0.68445831,0.52454663,0.37191283,0.40632793,
 0.78289766,0.55624408,0.41534513,0.95924553,0.25020906]"
CustomerType20,40,0.779438099943878,"[0.44521171,0.95328977,0.11287936,0.97577114,0.05951575,0.15009426,
 0.57527998,0.30038055,0.45684684,0.08365689]","[0.2800869 ,0.78495551,0.92510408,0.61371866,0.99381043,0.17680462,
 0.52363263,0.43117457,0.72142861,0.13661678,0.00639763]"
CustomerType21,433,0.33030615178671074,"[0.99407932,0.16097579,0.04180066,0.29990893,0.25851142,0.22225992,
 0.0055499 ,0.30962189,0.78056176,0.38190971]","[0.22639476,0.77284691,0.73195229,0.33652725,0.6635496 ,0.138035  ,
 0.56119544,0.21482339,0.91037781,0.9331649 ,0.59410602]"
CustomerType22,910,0.40303817609478154,"[0.24943939,0.78245026,0.20494514,0.17402757,0.85267655,0.52215448,
 0.17792043,0.56413288,0.4010345 ,0.87924852]","[0.10318974,0.29889622,0.58045673,0.8460601 ,0.9303467 ,0.8071551 ,
 0.51265017,0.5742822 ,0.12059699,0.33826201,0.40018331]"
CustomerType23,296,0.5637416344746605,"[0.6998532 ,0.87985384,0.90786673,0.00663917,0.3042872 ,0.9873537 ,
 0.43162934,0.11987486,0.20110324,0.3274998 ]","[0.86853958,0.96089934,0.52021354,0.46181823,0.43759973,0.61698553,
 0.85425139,0.62175251,0.60562801,0.62635644,0.45620903]"
CustomerType24,294,0.5532694324407309,"[0.89419876,0.18921412,0.28295093,0.27634813,0.51404462,0.29531589,
 0.18448035,0.51202416,0.19956667,0.17689907]","[0.35696397,0.34874168,0.11785384,0.17993473,0.81757258,0.60558486,
 0.97809096,0.45945099,0.738398  ,0.76089742,0.08768633]"
CustomerType25,380,0.07530096275728104,"[0.92290634,0.19913629,0.84950692,0.25254522,0.5777038 ,0.20883243,
 0.64548504,0.99605573,0.02924323,0.24002576]","[0.75179494,0.61623129,0.38496786,0.70270662,0.71210457,0.8491335 ,
 0.5118952 ,0.59133363,0.31134272,0.50762188,0.7569114 ]"
